tid,seq_ratio,avg_stride
10831,0.727,17.0
10841,0.987,8.6
10841,0.996,7.8
10841,0.985,6336.2
10831,0.734,21.8
10831,0.720,18.1
10831,0.708,16.3
10831,0.728,20.9
10841,0.948,10004.5
10841,0.994,4.6
10831,0.723,23.8
10841,0.987,5.8
10831,0.743,18.0
10841,0.987,4.4
10831,0.722,22.4
10841,0.991,5.0
10831,0.921,12.6
10831,0.773,25.0
10841,0.977,9968.9
10831,0.710,22.6
10841,0.981,22.1
10831,0.711,19.9
10841,0.975,41.3
10831,0.730,23.4
10841,0.977,6.4
10831,0.729,24.1
10841,0.982,6.4
10841,0.987,10.6
10841,0.994,8.9
10831,0.729,17.3
10841,0.974,8412.0
10841,0.987,14682.9
10831,0.710,13.4
10841,0.984,9.5
10831,0.717,17.9
10841,0.983,4.6
10831,0.712,17.0
10841,0.990,4.7
10841,0.974,9.3
10841,0.995,8.7
10841,0.988,11.7
10831,0.723,18.6
10841,0.930,10528.9
10841,0.994,8.5
10841,0.994,8.2
10831,0.719,20.2
10841,0.980,70803.8
10831,0.717,23.1
10841,0.983,4.8
10831,0.719,22.9
10841,0.984,5.3
10831,0.715,13.8
10841,0.986,4.8
10841,0.972,6.0
10831,0.703,23.0
10841,0.970,6384.6
10831,0.712,18.0
10841,0.987,22.2
10841,0.988,20.8
10831,0.715,24.4
10841,0.981,5.0
10831,0.726,22.1
10841,0.988,4.5
10841,0.983,27.0
10841,0.993,8.7
10831,0.731,18.7
10841,0.975,34663.9
10841,0.992,4.7
10831,0.730,17.5
10841,0.991,5.1
10831,0.714,16.0
10841,0.987,4.9
10831,0.713,18.3
10841,0.982,7.6
10841,0.992,8.4
10841,0.995,8.6
10841,0.995,9.1
10831,0.711,18.0
10841,0.979,27844.9
10831,0.719,17.3
10841,0.990,6.8
10831,0.710,21.3
10841,0.987,4.7
10831,0.783,28.5
10841,0.986,10508.1
10841,0.986,4.6
10831,0.712,16.6
10841,0.986,10.1
10841,0.995,8.5
10841,0.973,61.3
10831,0.714,18.5
10841,0.988,1595.1
10831,0.721,21.7
10841,0.986,26.7
10831,0.765,20.7
10841,0.987,4.4
10841,0.982,40.3
10831,0.709,22.2
10841,0.981,19913.8
10841,0.996,8.5
10841,0.979,18374.9
